meaning,translation,character,Lesson number,Frame number,Stroke number,Grade number,JLPT,Constituents,Example sentence 1,Example sentence 2,On-Yomi,Kun-Yomi,Example words
hop,"""hop",跳,34,1378,13,,1,"hop, wooden leg, mouth, stop, footprint, portent, omen",Wooden leg . . . portent.,"A girl with a wooden leg always wanted to play hopscotch with the other girls, but every time she tried to hop she´d lose her balance and injure another girl. That´s why the other girls make fun of her and see her presence as a portent to injury.",チョウ,は.ねる、と.ぶ、-と.び,"跳ぶ (と.ぶ), 跳ねる (は.ねる)"""
leap,"""leap",躍,34,1379,21,,1,"leap, wooden leg, mouth, stop, footprint, futon, feathers, wings, turkey",Wooden leg . . . feathers . . . turkey.,"Well, there are weekdays weekday (#576) and there are laundry days laundry (#577), and on February 29th leap day, the manufacturer recommends servicing or replacing your peg leg because they tend to wear out every 4 years.",ヤク,おど.る,"躍る (おど.る)"""
tread,"""tread",践,34,1380,13,,1,"tread, wooden leg, mouth, stop, footprint, parade float",Wooden leg . . . parade float.,"The pirate with the wooden leg chased after the parade float and was run over by the next one, leaving tread marks all over him and his leg.",セン,,
step,"""step",踏,34,1381,15,,1,"step, wooden leg, mouth, stop, footprint, wednesday, boots, water, sun, day",The meaning of this character is virtually identical with that of the last frame. Be sure to come up with distinct connotations suggested by phrases in which each is commonly used. Wooden leg . . . water . . . sun.,You have to watch your step when moving your leg on a watery day.,トウ,ふ.む、ふ.まえる,"踏まえる (ふ.まえる), 踏む (ふ.む)"""
skeleton,"""skeleton",骨,34,1383,10,6,2,"skeleton, joint, moon, month, flesh, part of the body","This kanji and primitive refers to the part of the body composed of the bones and their joints. The top part of the kanji, terminating in the element for crown, is a pictograph of a bone joint. I leave it to you to put the pieces together, so to speak.",Your body meat is attached to the bone joints of your skeleton.,コツ,ほね,"骨 (ほね)"""
slippery,"""slippery",滑,34,1384,13,,1,"slippery, water, water droplets, water pistol, skeleton, joint, moon, month, flesh, part of the body",Water . . . skeleton.,"Don´t give water to a skeleton. When he drinks it, it´ll sluice right through his bones, forcing you to put one of those """"Caution - Slippery Floor"""" signs up on the resultant puddle.",カツ、コツ,すべ.る、なめ.らか,"滑る (すべ.る), 滑らか (なめ.らか)"""
marrow,"""marrow",髄,34,1385,19,,1,"marrow, skeleton, joint, moon, month, flesh, part of the body, highwayman, possess, by one’s side, road, moon2, month2, flesh2, part of the body2",Skeleton . . . possess . . . road.,"A skeleton is shuffling along the shoulder of the road, so you pull up next to him and ask where he is going. He says he´s going to donate his marrow to the hospital because he got into some financial trouble and lost everything; his marrow is the only thing he still possesses.",ズイ,,
calamity,"""calamity",禍,34,1386,13,,1,"calamity, altar, jawbone, joint, hood, mouth",Altar . . . jawbone.,"Continued from auspicious (#1088). Once a year, the people pray for a sign from the gods. But if the gods are feeling particularly mischievous, they´ll send down a jawbone to the altar. The people see this as a sign of calamity to come. The gods think of it as an amusing prank.",カ,,
whirlpool,"""whirlpool",渦,34,1387,12,,1,"whirlpool, water, water droplets, water pistol, jawbone, joint, hood, mouth",Water . . . jawbone.,"Grampa´s flushing the toilet, when his denture (Jawbone) pops out and gets sucked down the whirlpool!",カ,うず,"渦 (うず)"""
overdo,"""overdo",過,34,1389,12,5,3,"overdo, jawbone, joint, hood, mouth, road",Jawbone . . . road.,"Jaws XII~! Jaws strikes the highway! Man, they´re really overdoing it now.",カ,す.ぎる、-す.ぎる、-す.ぎ、す.ごす、あやま.つ、あやま.ち、よ.ぎる,"過ち (あやま.ち), 過つ (あやま.つ), 過ぎる (す.ぎる), 過ごす (す.ごす)"""
