meaning,translation,character,Lesson number,Frame number,Stroke number,Grade number,JLPT,Constituents,Example sentence 1,Example sentence 2,On-Yomi,Kun-Yomi,Example words
one,"""one",一,1,1,1,1,5,One,"In Chinese characters, the number one is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right.* As a primitive element, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of floor or ceiling, depending on its position: if it stands above another primitive, it means ceiling; if below, floor.","One down, 2041 to go. ;).",イチ、イツ,ひと-、ひと.つ,"一度 (いちど), 一座 (いちざ), 第一 (だいいち), 一 (ひと), 一つ (ひと.つ)"""
two,"""two",二,1,2,2,1,5,two,"Like the Roman numeral II, which reduplicates the numeral I, the kanji for two is a simple reduplication of the horizontal stroke that means one. The order of writing goes from above to below, with the first stroke slightly shorter.",Two lines.,ニ、ジ,ふた、ふた.つ、ふたた.び,"二 (ふた), 二つ (ふた.つ)"""
three,"""three",三,1,3,3,1,5,three,"And like the Roman numeral III, which triples the numeral I, the kanji for three simply triples the single horizontal stroke. In writing it, think of """"1 + 2 = 3"""" (一 + 二 = 三) in order to keep the middle stroke shorter.",One + two = three.,サン、ゾウ,み、み.つ、みっ.つ,"三 (み), 三つ (み.つ), 三つ (みっ.つ)"""
four,"""four",四,1,4,5,1,5,"four, pent in, human legs","This character is composed of two primitive elements, mouth and human legs,both of which we will meet in the coming lessons. Assuming that you already knew how to write this kanji, we will pass over the """"story"""" connected with it until later. Note how the second stroke is written left-to-right and then top-to-bottom. This is consistent with what we have already seen in the first three numbers and leads us to a general principle that will be helpful when we come to more complicated kanji later on: write north-to-south, west-to-east, northwest-to-southeast.",FOUR year-olds often put their FOOT (human legs) in their MOUTH - but they are too young to realize.,シ,よ、よ.つ、よっ.つ、よん,"四 (よ), 四つ (よ.つ), 四つ (よっ.つ), 四 (よん)"""
five,"""five",五,1,5,4,1,5,five,"As with four, we shall postpone learning the primitive elements that make up this character. Note how the general principle we just learned in the preceding frame applies to the writing of the character for five.",三 + two vertical lines = 5.,ゴ,いつ、いつ.つ,"五 (いつ), 五つ (いつ.つ)"""
six,"""six",六,1,6,4,1,5,"six, top hat, animal legs","The primitives here are top hat and animal legs. Once again, we glide over them until later.","Indicating 6 parts of the human body: head, body, 2 arms, 2 legs.",ロク、リク,む、む.つ、むっ.つ、むい,"六 (む), 六つ (む.つ), 六つ (むっ.つ)"""
seven,"""seven",七,1,7,2,1,5,"seven, diced","Note that the first stroke """"cuts"""" through the second. This distinguishes seven from the character for spoon (Frame 476), in which the horizontal stroke stops short.* As a primitive, this form takes on the meaning of diced, i.e., """"cut"""" into little pieces, consistent both with the way the character is written and with its association with the kanji for cut to be learned in a later lesson (Frame 89).","This kanji is our good old seven, turned upside down.",シチ,なな、なな.つ、なの,"七 (なな), 七つ (なな.つ)"""
eight,"""eight",八,1,8,2,1,5,eight,"Just as the Arabic numeral """"8"""" is composed of a small circle followed by a larger one, so the kanji for eight is composed of a short line followed by a longer line, slanting towards it but not touching it. And just as the """"lazy 8"""" is the mathematical symbol for """"infinity,"""" so the expanse opened up below these two strokes is associated by the Japanese with the sense of an infinite expanse or something """"all-encompassing.""""","Hachi (eight) begins with the sound of the katakana """"ha"""", and it´s approximately the same character.",ハチ,や、や.つ、やっ.つ、よう,"八 (や), 八つ (や.つ), 八つ (やっ.つ)"""
nine,"""nine",九,1,9,2,1,5,"nine, baseball","If you take care to remember the stroke order of this kanji, you will not have trouble later keeping it distinct from the kanji for power (Frame 922).* As a primitive, we shall use this kanji to mean baseball team or simply baseball. The meaning, of course, is derived from the nine players who make up a team.",Kinda of looks like the kanji of 1　一 with the kanji of 8 八added. So think of it as一＋八＝九.,キュウ、ク,ここの、ここの.つ,"九百 (きゅうひゃく), 三拝九拝 (さんはいきゅうはい), 九 (ここの), 九つ (ここの.つ)"""
ten,"""ten",十,1,10,2,1,5,"ten, needle","Turn this character 45 degrees either way and you have the x used for the Roman numeral ten.* As a primitive, this character sometimes keeps its meaning of ten and sometimes signifies needle, this latter derived from the kanji for needle (Frame 292). Since the primitive is used in the kanji itself, there is no need to worry about confusing the two. In fact, we shall be following this procedure regularly.","Two needles crossing marks the spot, or you can use the Roman character for ten (rotated 45 degrees).",ジュウ、ジッ、ジュッ,とお、と,"十字架 (じゅうじか), 十文字 (じゅうもんじ), 十 (と), 十 (とお)"""
mouth,"""mouth",口,1,11,3,1,4,mouth,"Like several of the first characters we shall learn, the kanji for mouth is a clear pictograph. Since there are no circular shapes in the kanji, the square must be used to depict the circle.* As a primitive, this form also means mouth. Any of the range of possible images that the word suggests - an opening or entrance to a cave, a river, a bottle, or even the largest hole in your head - can be used for the primitive meaning.",Looks like a huge open mouth.,コウ、ク,くち,"口述 (こうじゅつ), 人口 (じんこう), 開口 (かいこう), 口 (くち)"""
day,"""day",日,1,12,4,1,5,"day, sun","This kanji is intended to be a pictograph of the sun. Recalling what we said in the previous frame about round forms, it is easy to detect the circle and the big smile that characterize our simplest drawings of the sun - like those yellow badges with the words, """"Have a nice day!""""* Used as a primitive, this kanji can mean sun or day or a tongue wagging in the mouth. This latter meaning, incidentally, derives from an old character outside the standard list meaning something like """"sayeth"""" and written almost exactly the same, except that the stroke in the middle does not touch the right side (Frame 620).","Open the window, new day.",ニチ、ジツ,ひ、-び、-か,"日時 (にちじ), 日光 (にっこう), 毎日 (まいにち), 日 (か), 日 (ひ)"""
month,"""month",月,1,13,4,1,5,"month, moon, month, flesh, part of the body","This character is actually a picture of the moon, with the two horizontal lines representing the left eye and mouth of the mythical """"man in the moon."""" (Actually, the Japanese see a hare in the moon, but it is a little farfetched to find one in the kanji.) And one month, of course, is one cycle of the moon.* As a primitive element, this character can take on the sense of moon, flesh, or part of the body. The reasons for the latter two meanings will be explained in a later chapter.",A month is longer than a day.,ゲツ、ガツ,つき,"月曜 (げつよう), 明月 (めいげつ), 歳月 (さいげつ), 月 (つき)"""
rice,field,田,1,14,5,1,4,"rice field, brains","Another pictograph, this kanji looks like a bird's-eye view of a rice field divided into four plots. Be careful when writing this character to get the order of the strokes correct. You will find that it follows perfectly the principle stated in frame 4.* When used as a primitive element, the meaning of rice field is most common, but now and again it will take the meaning of brains from the fact that it looks a bit like that tangle of gray matter nestled under our skulls.",A rice field divided into four parts.,デン,た,"田 (た)"""
eye,"""eye",目,1,15,5,1,4,eye,"Here again, if we round out the corners of this kanji and curve the middle strokes upwards and downwards respectively, we get something resembling an eye.* As a primitive, the kanji keeps its sense of eye, or more specifically, an eyeball. When placed in the surroundings of a complex kanji, the primitive will sometimes be turned on its side.",There are 3 sections. Imagine the outer two being the whites of your eye. The middle is the pupil. Fill it in with imaginary color.,モク、ボク,め、-め、ま-,"目的 (もくてき), 目前 (もくぜん), 項目 (こうもく), 目 (め)"""
old,"""old",古,2,16,5,2,4,"old, tombstone, gravestone, church, ten, needle, mouth","The primitive elements that compose this character are ten and mouth, but you may find it easier to remember it as a pictograph of a tombstone with a cross on top. Just think back to one of those graveyards you have visited, or better still, used to play in as a child, with old inscriptions on the tombstones. This departure from the primitive elements in favor of a pictograph will take place now and again at these early stages, and almost never after that. So you need not worry about cluttering up your memory with too many character """"drawings.""""* Used as a primitive element, this kanji keeps its key-word sense of old, but care should be taken to make that abstract notion as graphic as possible.",Tombstone and cross on an old man´s grave.,コ,ふる.い、ふる-、-ふる.す,"古い (ふる.い), 古す (ふる.す)"""
I,"""I",吾,2,17,7,,,"I, five, mouth","There are actually a number of kanji for the word I, but the others tend to be more specific than this one. The key word here should be taken in the general psychological sense of the """"perceiving subject."""" Now the one place in our bodies that all five senses are concentrated in is the head, which has no less than five mouths: 2 nostrils, 2 ears, and 1 mouth. Hence, five mouths = I.",I have 5 senses.,ゴ,,
risk,"""risk",冒,2,18,9,,1,"risk, sun, day, eye","Remember when you were young and your mother told you never to look directly into the sun for fear you might burn out your eyes? Probably you were foolish enough to risk a quick glance once or twice; but just as probably, you passed that bit of folk wisdom on to someone else as you grew older. Here, too, the kanji that has a sun above and an eye right below looking up at it has the meaning of risk (see frame 12).","Don´t look at the sun directly with your eyes, it´s risky!",ボウ,おか.す,"冒す (おか.す)"""
companion,"""companion",朋,2,19,8,,1,"companion, moon, month, flesh, part of the body, moon2, month2, flesh2, part of the body2","The first companion that God made, as the Bible story goes, was Eve. Upon seeing her, Adam exclaimed, """"Flesh of my flesh!"""" And that is precisely what this character says in so many strokes.",My companion and I are like two moons side by side.,ホウ,,
bright,"""bright",明,2,20,8,2,4,"bright, sun, day, moon, month, flesh, part of the body","Among nature's bright lights, there are two that the biblical myth has God set in the sky: the sun to rule over the day and the moon to rule the night. Each of them has come to represent one of the common connotations of this key word: the sun, the bright insight of the clear thinker, and the moon, the bright intuition of the poet and the seer (see frame 13).",The sun makes the moon bright.,メイ、ミョウ、ミン,あ.かり、あか.るい、あか.るむ、あか.らむ、あき.らか、あ.ける、-あ.け、あ.く、あ.くる、あ.かす,"明暗 (めいあん), 説明 (せつめい), 鮮明 (せんめい), 明かす (あ.かす), 明かり (あ.かり), 明く (あ.く), 明くる (あ.くる), 明ける (あ.ける), 明らむ (あか.らむ), 明るい (あか.るい), 明るむ (あか.るむ), 明らか (あき.らか)"""
chant,"""chant",唱,,21,,4,1,"chant, mouth, prosperous, sun, day, tongue wagging, sun2, day2, tongue wagging2","This one is easy! You have one mouth making no noise (the choirmaster) and two mouths with wagging tongues (the minimum for a chorus). So think of the key word, chant, as monastery singing and the kanji is yours forever (see frame 11).",Someone chanting with their mouth open for two consecutive days.,ショウ,とな.える,"唱える (とな.える)"""
sparkle,"""sparkle",晶,2,22,12,,1,"sparkle, day, sun, day3, sun3","What else can the word sparkle suggest if not a diamond? And if you've ever held a diamond up to the light, you will have noticed how every facet of it becomes like a miniature sun. This kanji is a picture of a tiny sun in three places (that is, """"everywhere""""), to give the sense of something that sparkles on all sides. Just like a diamond. In writing the primitive elements three times, note again how the rule for writing given in frame 4 holds true not only for the strokes in each individual element but also for the disposition of the elements in the character as a whole.",A diamond sparkles as brightly as three suns.,ショウ,,
goods,"""goods",品,2,23,9,3,4,"goods, mouth, mouth3","As in the character for sparkle, the triplication of a single element in this character indicates """"everywhere"""" or """"heaps of."""" When we think of goods in modern industrial society, we think of what has been mass-produced - that is to say, produced for the """"masses"""" of open mouths waiting like fledglings in a nest to """"consume"""" whatever comes their way.",Three boxes of goods are devoured by the hungry mouths of waiting consumers.,ヒン、ホン,しな,"品 (しな)"""
spine,"""spine",呂,2,24,7,,1,"spine, mouth, drop, mouth2",This character is rather like a picture of two of the vertebrae in the spine linked by a single stroke.,Spine connects head and body.,ロ、リョ,,
prosperous,"""prosperous",昌,2,25,8,,1,"prosperous, sun, day, sun2, day2","What we mentioned in the previous two frames about 3 of something meaning """"everywhere"""" or """"heaps of"""" was not meant to be taken lightly. In this kanji we see two suns, one atop the other, which, if we are not careful, is easily confused in memory with the three suns of sparkle. Focus on the number this way: since we speak of prosperous times as sunny, what could be more prosperous than a sky with two suns in it? Just be sure to actually SEE them there.",If you work from Sun UP to Sun DOWN you will be prosperous.,ショウ,,
early,"""early",早,2,26,6,1,4,"early, sunflower, sun, day, ten, needle","This kanji is actually a picture of the first flower of the day, which we shall, in defiance of botanical science, call the sunflower, since it begins with the element for sun and is held upon a stem with leaves (the pictographic representation of the final two strokes). This time, however, we shall ignore the pictograph and imagine sunflowers with needles for stems, which can be plucked and used to darn your socks. The sense of early is easily remembered if one thinks of the sunflower as the early riser in the garden, because the sun, showing favoritism towards its namesake, shines on it before all the others (see frame 10).* As a primitive element, this kanji takes the meaning of sunflower, which was used to make the abstract key word early more graphic.","The sun up is early, well before ten.",ソウ、サッ,はや.い、はや、はや-、はや.まる、はや.める、さ-,"早期 (そうき), 早晩 (そうばん), 早々に (そうそうに), 早い (はや.い), 早まる (はや.まる), 早める (はや.める)"""
rising,sun,旭,2,27,6,,1,"rising sun, nine, baseball, sun, day","This character is a sort of nickname for the Japanese flag with its well-known emblem of the rising sun. If you can picture two seams running down that great red sun, and then imagine it sitting on a baseball bat for a flagpole, you have a slightly irreverent - but not altogether inaccurate - picture of how the sport has caught on in the Land of the Rising Sun.",9am carries with it the rising sun.,キョク,,
generation,"""generation",世,2,28,5,3,4,"generation, ten, twenty","We generally consider one generation as a period of thirty (or ten plus ten plus ten) years. If you look at this kanji in its completed form - not in its stroke order - you will see three tens. When writing it, think of the lower horizontal lines as """"addition"""" lines written under numbers to add them up. Thus: ten """"plus"""" ten """"plus"""" ten = thirty. Actually, it's a lot easier doing it with a pencil than reading it in a book.",3 tens = generation.,セイ、セ、ソウ,よ、さんじゅう,"世紀 (せいき), 時世 (じせい), 処世 (しょせい), 世 (よ)"""
stomach,"""stomach",胃,2,29,9,4,2,"stomach, rice field, brains, moon, month, flesh, part of the body","You will need to refer back to frames 13 and 14 here for the special meaning of the two primitive elements that make up this character: flesh (part of the body) and brain. What the kanji says, if you look at it, is that the part of the body that keeps the brain in working order is the stomach. To keep the elements in proper order, when you write this kanji think of the brain as being """"held up"""" by the flesh.",The rice field is harvested once a month to get food for our stomach.,イ,,
nightbreak,"""nightbreak",旦,2,30,5,,1,"nightbreak, sun, one, floor","While we normally refer to the start of the day as """"daybreak,"""" Japanese commonly refers to it as the """"opening up of night"""" into day. Hence the choice of this rather odd key word, nightbreak. The single stroke at the bottom represents the floor (have a peek again at frame 1) or the horizon over which the sun is poking its head",A nightbreak happens when the sun rises over the horizon (floor).,タン、ダン,,
gall,bladder,胆,2,31,9,,1,"gallbladder, moon, month, flesh, part of the body, nightbreak, sun, day, one, floor","The pieces in this character should be easily recognizable: on the left, the element for part of the body, and on the right, the character for nightbreak, which we have just met. What all of this has to do with the gall bladder is not immediately clear. But all we need to do is give a slight twist to the traditional biblical advice about not letting the sun set on your anger (which ancient medicine associated with the choler or bile that the gall bladder is supposed to filter out), and change it to """"not letting the night break on your anger"""" (or your gall) - and the work of remembering the kanji is done. And the improvement is not a bad piece of advice in its own right, since anger, like so many other things, can often be calmed by letting the sun set on it and then """"sleeping it off.""""",The moon has a lot of gall sticking around after sunrise.,タン,,
span,"""span",亘,2,32,6,,1,"span, one, ceiling, sun, day, one, floor","""""Sunrise, sunset, sunrise, sunset..."""" goes the song of the Fiddler on the Roof. You can almost see the journey of the sun as it moves from one horizon (the floor) to its noonday heights in the sky overhead (ceiling) and then disappears over the other horizon - day after day, marking the span of our lives.",The sun spans from horizon to horizon in a day.,コウ、カン,,
concave,"""concave",凹,2,33,5,,1,concave,"You couldn't have asked for a better key word for this kanji! Just have a look at it: a perfect image of a concave lens (remembering, of course, that the kanji square off rounded things), complete with its own little """"cave."""" Now all you have to do is learn how to write it.","The letter """"U"""" is concavely written.",オウ,,
convex,"""convex",凸,2,34,5,,1,convex,"Maybe this helps you see how the Japanese have no trouble keeping convex distinct from concave. Note the odd feeling of the third stroke. If it doesn't feel all that strange now, by the time you are done with this book, it will. There are very few times you will have to write it.","When I get vexed, I give people the middle finger.",トツ,,
olden,times,旧,3,35,5,5,2,"olden times, stick, sun, day","A walking stick is needed for days of olden times, since days, too, get old - at least insofar as we refer to them as the """"good old days."""" The main thing here is to think of """"good old days"""" when you hear the key word olden times. The rest will take care of itself.",Age 18 = olden times.,キュウ,,
oneself,"""oneself",自,3,36,6,2,4,"oneself, drop, eye","You can think of this kanji as a stylized pictograph of the nose, that little drop that Mother Nature set between your eyes. The Japanese refer to themselves by pointing a finger at their nose - giving us an easy way to remember the kanji for oneself.* The same meaning of oneself can be kept when this kanji is used as a primitive element, but you will generally find it better to give it the meaning of nose or nostrils, both because it accords with the story above and because it is the first part of the kanji for nose (Frame 733).","Faced with his clone, our hero valiantly cut a mark on his forehead right above his eye so that his comrades could tell his true oneself from the enemy.",ジ、シ,みずか.ら、おの.ずから、おの.ずと,"自分 (じぶん), 自由 (じゆう), 各自 (かくじ), 自ら (みずか.ら)"""
white,"""white",白,3,37,5,1,5,"white, drop, sun, day","The color white is a mixture of all the primary colors, both for pigments and for light, as we see when a prism breaks up the rays of the sun. Hence, a single drop of sun spells white.* As a primitive, this character can either retain its meaning of white or take the more graphic meaning of a white bird or dove. This latter stems from the fact that it appears at the top of the kanji for bird, which we shall get to later (Frame 2091).",A white ray is a drop of sun.,ハク、ビャク,しろ、しら-、しろ.い,"白髪 (しらが), 紅白 (こうはく), 明白 (めいはく), 白 (しろ), 白い (しろ.い)"""
hundred,"""hundred",百,3,38,6,1,5,"hundred, one, ceiling, white, dove","The Japanese refer to a person's 99th birthday as a """"white year"""" because white is the kanji you are left with if you subtract one from a hundred.",100 turned sideways. {sort of the same as what ashoksaraf said}.,ヒャク、ビャク,,
in,"""in",中,3,39,4,1,5,"in, stick, mouth","The elements here are a walking stick and a mouth. Remember the trouble your mother had getting medicine in your mouth? Chances are it crossed her mind more than once to grab something handy, like your grandfather's walking stick, to pry open your jaws while she performed her duty. Keep the image of getting something in from the outside, and the otherwise abstract sense of this key word should be a lot easier than trying to spoon castor oil into a baby's mouth.",Pocky goes in the mouth.,チュウ,なか、うち、あた.る,"中 (なか)"""
thousand,"""thousand",千,3,40,3,1,5,"thousand, drop, ten, needle","This kanji is almost too simple to pull apart, but for the sake of practice, have a look at the drop above and the ten below. Now put the elements together by thinking of squeezing two more zeros out of an eyedropper alongside the number ten to make it a thousand.",It takes many drops of ten to get to a thousand.,セン,ち,"千 (ち)"""
tongue,"""tongue",舌,3,41,6,5,1,"tongue, thousand, drop, ten, needle, mouth","The primitive for mouth and the character for thousand naturally form the idea of tongue if one thinks of a thousand mouths able to speak the same language, or as we say, """"sharing a common tongue."""" It is easy to see the connection between the idiom and the kanji if you take its image literally: a single tongue being passed around from mouth to mouth.","What is in a mouth that permits it to speak a thousand things? Yes, a tongue.",ゼツ,した,"舌 (した)"""
measuring,box,升,3,42,4,,1,"measuring box, thousand, drop, ten, needle","This is the character for the little wooden box that the Japanese use for measuring things, as well as for drinking saké out of. Simply imagine the outside as spiked with a thousand sharp needles, and the quaint little measuring box becomes a drinker's nightmare! Be very careful when you write this character not to confuse it with the writing of thousand. The reason for the difference gives us a chance to clarify another general principle of writing that supersedes the one we mentioned in frame 4: when a single stroke runs vertically through the middle of a character, it is written last.",It is a thousand or ten? I need my measuring box.,ショウ,ます,"升 (ます)"""
rise,up,昇,3,43,8,,2,"rise up, sun, day, measuring box, thousand, drop, ten, needle","Our image here is made up of two primitive elements: a sun and a measuring box. Just as the sun can be seen rising up in the morning from - where else - the Land of the Rising Sun, this kanji has the sun rising up out of a Japanese measuring box - the """"measuring box of the rising-up sun.""""","This kanji does not mean """"get up"""" or """"awake."""" It means rising, like the rising of a salary, or a promotion. STORY: You know that your salary has RISEN UP when your MEASURING BOX has enough dollar bills in it to reach the SUN.",ショウ,のぼ.る,"昇る (のぼ.る)"""
round,"""round",丸,3,44,3,2,2,"round, drop, nine, baseball","We speak of """"round numbers,"""" or """"rounding a number off,"""" meaning to add an insignificant amount to bring it to the nearest 10. For instance, if you add just a wee bit, the tiniest drop, to nine, you end up with a round number.* As a primitive, this element takes the meaning of a fat man. Think of a grotesquely fat man whose paunch so covers the plate that he is always getting hit by the pitch. Hence a round baseball player becomes a fat man.",Nine plus a drop rounds it off to ten!,ガン,まる、まる.める、まる.い,"丸 (まる), 丸い (まる.い), 丸める (まる.める)"""
measurement,"""measurement",寸,3,45,3,6,1,"measurement, glue, drop, ten with a hook","This kanji actually stood for a small measurement used prior to the metric system, a bit over an inch in length, and from there acquired the sense of measurement. In the old system, it was one-tenth of a shaku (whose kanji we shall meet in frame 1151). The picture, appropriately, represents one drop of a ten (with a hook!).* As a primitive, we shall use this to mean glue or glued to. There is no need to devise a story to remember this, since the primitive will appear so often you would have to struggle hard NOT to remember it.",The decimal system uses drops of ten as a measurement.,スン,,
specialty,"""specialty",専,3,47,9,6,2,"specialty, ten, needle, rice field, brains, glue","Ten . . . rice fields . . . glue. That is how one would read the primitive elements of this kanji from top to bottom. Now if we make a simple sentence out of these elements, we get: """"Ten rice fields glued together."""" A specialty, of course, refers to one's special """"field"""" of endeavor or competence. In fact, few people remain content with a single specialty and usually extend themselves in other fields as well. This is how we come to get the picture of ten fields glued together to represent a specialty.","After you have chosen your 10 fields of study, measure how good you are at each to find out your specialty.",セン,もっぱ.ら,"専ら (もっぱ.ら)"""
Dr.,"""Dr.",博,3,48,12,4,1,"Dr., ten, needle, acupuncturist, specialty, drop, ten, needle, rice field, brains, glue","At the left we have the needle; at the right, the kanji for specialty, plus an extra drop at the top. Think of a Dr. who is a specialist with a needle (an acupuncturist) and let the drop at the top represent the period at the end of Dr. In principle we are trying to avoid this kind of device, which plays on abstract grammatical conventions; but I think you will agree, after you have had occasion to use the right side of this kanji in forming other kanji, that the exception is merited in this case.* The primitive form of this kanji eliminates the needle on the left and gets the meaning of an acupuncturist.",Ten specialties grants you the title of Dr. with a dot.,ハク、バク,,"博識 (はくしき), 博覧 (はくらん), 博士号 (はくしごう)"""
fortune-telling,"""fortune-telling",占,3,49,5,,2,"fortune-telling, magic wand, augury, divining rod, mouth","This is one of those kanji that is a real joy of simplicity: a divining rod with a mouth - which translate directly into fortune-telling. Note how the movement from top to bottom (the movement in which the kanji are written) is also the order of the elements which make up our story and of the key word itself: first divining rod, then mouth. This will not always be possible, but where it is, memory has almost no work at all to do.",Fortune-telling: using a mouth as a divining rod.,セン,し.める、うらな.う,"占う (うらな.う), 占める (し.める)"""
above,"""above",上,3,50,3,1,5,"above, magic wand, augury, divining rod, one, floor","The two directions, above and below, are usually pointed at with the finger. But the characters do not follow that custom, so we have to choose something else, easily remembered. The primitives show a magic wand standing above a floor - """"magically,"""" you might say. Anyway, go right on to the next frame, since the two belong together and are best remembered as a unit, just as the words above and below suggest each other.",A magic wand standing on above the floor.,ジョウ、ショウ、シャン,うえ、-うえ、うわ-、かみ、あ.げる、-あ.げる、あ.がる、-あ.がる、あ.がり、-あ.がり、のぼ.る、のぼ.り、のぼ.せる、のぼ.す、よ.す,"上旬 (じょうじゅん), 上昇 (じょうしょう), 地上 (ちじょう), 上がる (あ.がる), 上げる (あ.げる), 上 (うえ), 上 (かみ), 上す (のぼ.す), 上せる (のぼ.せる), 上る (のぼ.る)"""
below,"""below",下,3,51,3,1,5,"below, one, ceiling, magic wand, augury, divining rod","Here we see our famous miraculous magic wand hanging, all on its own, below the ceiling, as you probably already guessed would happen. In addition to giving us two new kanji, the two shapes given in this and the preceding frame also serve to fix the use of the primitives for ceiling and floor, by drawing our attention successively to the line standing above and below the primitive element to which it is related.",Roots are below the ground.,カ、ゲ,した、しも、もと、さ.げる、さ.がる、くだ.る、くだ.り、くだ.す、-くだ.す、くだ.さる、お.ろす、お.りる,"下流 (かりゅう), 下降 (かこう), 落下 (らっか), 下りる (お.りる), 下ろす (お.ろす), 下さる (くだ.さる), 下す (くだ.す), 下る (くだ.る), 下がる (さ.がる), 下げる (さ.げる), 下 (した), 下 (しも), 下 (もと)"""
eminent,"""eminent",卓,3,52,8,,1,"eminent, magic wand, augury, divinging rod, sunflower, sun, day, ten, needle",The word eminent suggests a famous or well-known person. So all you need to do - given the primitives of a magic wand and a sunflower - is to think of the world's most eminent magician as one who uses a sunflower for a magic wand (like a flower-child who goes around turning the world into peace and love).,The most eminent magician is he who learned to use his magic wand early in life.,タク,,
morning,"""morning",朝,3,53,12,2,4,"morning, mist, ten, needle, early, sun, day, moon, month, flesh, part of the body, ten2, needle2","On the right we see the moon fading off into the first light of morning, and to the left, the mist that falls to give nature a shower to prepare it for the coming heat. If you can think of the moon tilting over to spill mist on your garden, you should have no trouble remembering which of all the elements in this story are to serve as primitives for constructing the character.",There is mist as the moon fades away in the morning.,チョウ,あさ,"朝 (あさ)"""
only,"""only",只,4,55,5,,1,"only, mouth, animal legs, eight","When we run across abstract key words like this one, the best way to get an image it to recall some common but suggestive phrase in which the word appears. For instance, we can think of the expression """"it's the only one of its kind."""" Then we imagine a barker at a side-show advertising some strange pac-manlike creature he has inside his tent, with only a gigantic mouth and two wee animal legs.",Imagine an animal with only a mouth and legs.,シ,,
shellfish,"""shellfish",貝,4,56,7,1,2,"shellfish, shellfish, clam, oyster, eye, animal legs, eight","To remember the primitive elements that make up this kanji, an eye and animal legs, you might be tempted to think of it as a pictograph of a shellfish with its ridged shell at the top and two little legs sticking out of the bottom. But that might not help you recall later just how many ridges to put on the shell. Better to imagine a freakish shellfish with a single, gigantic eye roaming the beaches on its slender little legs, scaring the wits out of the sunbathers.* When used as a primitive, in addition to shells, the meanings oyster and clam will often come in handy.",Eye thought I saw a shellfish legging it down the beach!,バイ,かい,"貝 (かい)"""
upright,"""upright",貞,4,58,9,,1,"upright, magic wand, augury, divining rod, shellfish, clam, oyster, eye, animal legs, eight","Now take the last primitive, the shellfish, and set a magic wand over it, and you have the kanji for upright. After all, the clam and the oyster are incapable of walking upright. It would take a magician with his wand to pull off such a feat - which is precisely what we have in this kanji.",A magic wand is needed to make a clam stand upright.,テイ,,
employee,"""employee",員,4,59,10,3,4,"employee, mouth, shellfish, clam, oyster, eye, animal legs, eight","How do we get a mouth over a shellfish to mean an employee? Simple. Just remember the advice new employees get about keeping their mouths shut and doing their job, and then make that more graphic by picturing an office building full of white collar workers scurrying around with clams pinched to their mouths.",An employee (member of the company) has to clam up his mouth if he wants keep the job!,イン,,
see,"""see",見,4,61,7,1,5,"see, eye, human legs","The elements that compose the character for see are the eye firmly fixed to a pair of human legs. Surely, somewhere in your experience, there is a vivid image just waiting to be dragged up to help you remember this character....","As a primitive, this is Mike Wazowski from Monsters Inc. (the giant eyeball with legs...) Makes for easy stories later on.",ケン,み.る、み.える、み.せる,"見える (み.える), 見せる (み.せる), 見る (み.る)"""
newborn,babe,児,4,62,7,4,2,"newborn babe, olden times, stick, sun, day, human legs","The top part of the kanji in this frame, you will remember, is the character for olden times, those days so old they needed a walking stick to get around. Western mythical imagination has old """"Father Time"""" leaning on his sickle with a newborn babe crawling around his legs, the idea being that the circle of birth and-death goes on. This is the first of three times that the kanji for olden times will appear as a primitive element in another kanji, so try to make the most of it.","In the olden times, a newborn babe came out legs first.",ジ、ニ、ゲイ,こ、-こ、-っこ,"児童 (じどう), 幼児 (ようじ), 優良児 (ゆうりょうじ)"""
beginning,"""beginning",元,4,63,4,2,4,"beginning, two, human legs","""""In the beginning..."""" starts that marvelous shelf of books we call the Bible. It talks about how all things were made, and tells us that when the Creator came to humanity she made two of them, man and woman. While we presume she made two of every other animal as well, we are not told as much. Hence we need only two and a pair of human legs come to the kanji that means beginning.",In the beginning were just two who walked on human legs.,ゲン、ガン,もと,"元素 (げんそ), 元気 (げんき), 多元 (たげん), 元 (もと)"""
page,"""page",頁,4,64,9,,,"page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight","What we have to do here is turn a shellfish into a page of a book. The one at the top tells us that we only get a rather short book, in fact only one page. Imagine a title printed on the shell of an oyster, let us say """"Pearl of Wisdom,"""" and then open the quaint book to its one and only page, on which you find a single, radiant drop of wisdom, one of the masterpiece poems of nature.* As a primitive, this kanji takes the unrelated meaning of a head (preferably one detached from its body), derived from the character for head (Frame 1549).",A shellfish carrying a page balanced on its head.,ケツ,,
